PlayerName,Team1,Team2,Overs,Maidens,Runs,Wickets,Economy,Dream11_score
Rashid Khan,GT,SRH,4,0,45,0,11.25,0
Lockie Ferguson,GT,SRH,4,0,52,0,13,-2
Bhuvneshwar Kumar,SRH,GT,4,0,33,0,8.25,4
Marco Jansen,SRH,GT,4,0,63,0,15.75,-2
T Natarajan,SRH,GT,4,0,43,0,10.75,2
Washington Sundar,SRH,GT,4,0,34,0,8.5,4
Umran Malik,SRH,GT,4,0,25,5,6.25,147
Mustafizur Rahman,DC,KKR,4,0,18,3,4.5,89
Chetan Sakariya,DC,KKR,3,0,17,1,5.67,33
Shardul Thakur,DC,KKR,3,0,32,0,10.67,2
Axar Patel,DC,KKR,4,0,28,1,7,29
Kuldeep Yadav,DC,KKR,3,0,14,4,4.67,118
Lalit Yadav,DC,KKR,3,0,32,0,10.67,2
Umesh Yadav,KKR,DC,4,0,24,3,6,85
Harshit Rana,KKR,DC,3,0,24,1,8,29
Tim Southee,KKR,DC,4,0,31,0,7.75,4
Sunil Narine,KKR,DC,4,0,19,1,4.75,35
Nitish Rana,KKR,DC,1,0,14,0,14,4
Andre Russell,KKR,DC,1,0,14,0,14,4
Venkatesh Iyer,KKR,DC,1,0,14,0,14,4
Shreyas Iyer,KKR,DC,1,0,7,0,7,4
Arshdeep Singh,PBSK,LSG,4,0,23,0,5.75,8
Sandeep Sharma,PBSK,LSG,4,0,18,1,4.5,35
Kagiso Rabada,PBSK,LSG,4,0,38,4,9.5,112
Rishi Dhawan,PBSK,LSG,2,0,13,0,6.5,6
Liam Livingstone,PBSK,LSG,2,0,23,0,11.5,0
Rahul Chahar,PBSK,LSG,4,0,30,2,7.5,54
Mohsin Khan,LSG,PBSK,4,1,24,3,6,97
Dushmantha Chameera,LSG,PBSK,4,0,17,2,4.25,60
Jason Holder,LSG,PBSK,1,0,8,0,8,4
Avesh Khan,LSG,PBSK,3,0,26,0,8.67,4
Ravi Bishnoi,LSG,PBSK,4,0,41,1,10.25,27
Krunal Pandya,LSG,PBSK,4,1,11,2,2.75,72
Mohammad Shami,GT,RCB,4,0,39,1,9.75,29
Pradeep Sangwan,GT,RCB,4,0,19,2,4.75,60
Alzarri Joseph,GT,RCB,4,0,42,1,10.5,27
Rashid Khan,GT,RCB,4,0,29,1,7.25,29
Lockie Ferguson,GT,RCB,4,0,36,1,9,29
Glenn Maxwell,RCB,GT,1,0,10,0,10,4
Mohammed Siraj,RCB,GT,4,0,35,0,8.75,4
Josh Hazlewood,RCB,GT,3.3,0,36,0,10.29,2
Shahbaz Ahmed,RCB,GT,3,0,26,2,8.67,54
Harshal Patel,RCB,GT,4,0,35,0,8.75,4
Wanindu Hasaranga,RCB,GT,4,0,28,2,7,54
Daniel Sams,MI,RR,4,0,32,1,8,29
Jasprit Bumrah,MI,RR,4,0,27,0,6.75,6
Hrithik Shokeen,MI,RR,3,0,47,2,15.67,48
Riley Meredith,MI,RR,4,0,24,2,6,56
Kumar Kartikeya Singh,MI,RR,4,0,19,1,4.75,35
Kieron Pollard,MI,RR,1,0,8,0,8,4
Trent Boult,RR,MI,3,0,26,1,8.67,29
Prasidh Krishna,RR,MI,4,0,29,1,7.25,29
Ravichandran Ashwin,RR,MI,4,0,21,1,5.25,33
Daryl Mitchell,RR,MI,1,0,20,0,20,4
Yuzvendra Chahal,RR,MI,4,0,33,1,8.25,29
Kuldeep Sen,RR,MI,3.2,0,29,1,8.7,29
Mustafizur Rahman,DC,LSG,4,0,37,0,9.25,4
Chetan Sakariya,DC,LSG,4,0,44,0,11,2
Axar Patel,DC,LSG,4,0,25,0,6.25,6
Lalit Yadav,DC,LSG,1,0,16,0,16,4
Shardul Thakur,DC,LSG,4,0,40,3,10,81
Kuldeep Yadav,DC,LSG,3,0,29,0,9.67,4
Mohsin Khan,LSG,DC,4,0,16,4,4,118
Dushmantha Chameera,LSG,DC,4,0,44,1,11,27
Krunal Pandya,LSG,DC,1,0,19,0,19,4
Jason Holder,LSG,DC,4,0,45,0,11.25,0
Ravi Bishnoi,LSG,DC,4,0,28,1,7,29
Krishnappa Gowtham,LSG,DC,2,0,23,1,11.5,25
Marcus Stoinis,LSG,DC,1,0,14,0,14,4
Bhuvneshwar Kumar,SRH,CSK,4,0,22,0,5.5,8
Marco Jansen,SRH,CSK,4,0,38,0,9.5,4
T Natarajan,SRH,CSK,4,0,42,2,10.5,52
Aiden Markram,SRH,CSK,3,0,36,0,12,0
Umran Malik,SRH,CSK,4,0,48,0,12,0
Shashank Singh,SRH,CSK,1,0,10,0,10,4
Mukesh Choudhary,CSK,SRH,4,0,46,4,11.5,108
Simarjeet Singh,CSK,SRH,2,0,24,0,12,0
Mitchell Santner,CSK,SRH,3,0,36,1,12,25
Maheesh Theekshana,CSK,SRH,4,0,26,0,6.5,6
Ravindra Jadeja,CSK,SRH,3,0,15,0,5,8
Dwaine Pretorius,CSK,SRH,4,0,40,1,10,27
Umesh Yadav,KKR,RR,4,1,24,1,6,43
Anukul Roy,KKR,RR,4,0,28,1,7,29
Sunil Narine,KKR,RR,4,0,19,0,4.75,10
Shivam Mavi,KKR,RR,4,0,33,1,8.25,29
Tim Southee,KKR,RR,4,0,46,2,11.5,50
Trent Boult,RR,KKR,4,0,25,1,6.25,31
Prasidh Krishna,RR,KKR,4,0,37,1,9.25,29
Kuldeep Sen,RR,KKR,3.1,0,28,1,8.84,29
Ravichandran Ashwin,RR,KKR,4,0,33,0,8.25,4
Yuzvendra Chahal,RR,KKR,4,0,31,0,7.75,4
Sandeep Sharma,PBSK,GT,4,0,17,0,4.25,10
Kagiso Rabada,PBSK,GT,4,0,33,4,8.25,112
Arshdeep Singh,PBSK,GT,4,0,36,1,9,29
Rishi Dhawan,PBSK,GT,4,0,26,1,6.5,31
Liam Livingstone,PBSK,GT,2.3,0,15,1,6,31
Rahul Chahar,PBSK,GT,1.3,0,11,0,7.33,4
Mohammad Shami,GT,PBSK,4,0,43,1,10.75,27
Pradeep Sangwan,GT,PBSK,2,0,23,0,11.5,0
Alzarri Joseph,GT,PBSK,3,0,25,0,8.33,4
Lockie Ferguson,GT,PBSK,3,0,29,1,9.67,29
Rashid Khan,GT,PBSK,4,0,21,0,5.25,8
Mukesh Choudhary,CSK,PBSK,3,0,30,0,10,2
Simarjeet Singh,CSK,RCB,2,0,21,0,10.5,2
Maheesh Theekshana,CSK,RCB,4,0,27,3,6.75,85
Ravindra Jadeja,CSK,RCB,4,0,20,0,5,8
Moeen Ali,CSK,RCB,4,0,28,2,7,54
Dwaine Pretorius,CSK,RCB,3,0,42,1,14,23
Shahbaz Ahmed,RCB,CSK,3,0,27,1,9,29
Josh Hazlewood,RCB,CSK,4,0,19,1,4.75,35
Mohammed Siraj,RCB,CSK,2,0,22,0,11,2
Wanindu Hasaranga,RCB,CSK,3,0,31,1,10.33,27
Glenn Maxwell,RCB,CSK,4,0,22,2,5.5,58
Harshal Patel,RCB,CSK,4,0,35,3,8.75,83
Bhuvneshwar Kumar,SRH,DC,4,1,25,1,6.25,43
Sean Abbott,SRH,DC,4,0,47,1,11.75,25
Umran Malik,SRH,DC,4,0,52,0,13,-2
Kartik Tyagi,SRH,DC,4,0,37,0,9.25,4
Shreyas Gopal,SRH,DC,3,0,34,1,11.33,25
Aiden Markram,SRH,DC,1,0,11,0,11,4
Shardul Thakur,DC,SRH,4,0,44,2,11,52
Khaleel Ahmed,DC,SRH,4,0,30,3,7.5,83
Anrich Nortje,DC,SRH,4,0,35,1,8.75,29
Mitchell Marsh,DC,SRH,4,0,36,1,9,29
Kuldeep Yadav,DC,SRH,4,0,40,1,10,27
Mohammad Shami,GT,MI,4,0,42,0,10.5,2
Alzarri Joseph,GT,MI,4,0,41,1,10.25,27
Rashid Khan,GT,MI,4,0,24,2,6,56
Lockie Ferguson,GT,MI,4,0,34,1,8.5,29
Pradeep Sangwan,GT,MI,3,0,23,1,7.67,29
Rahul Tewatia,GT,MI,1,0,11,0,11,4
Daniel Sams,MI,GT,3,0,18,0,6,6
Jasprit Bumrah,MI,GT,4,0,48,0,12,0
Murugan Ashwin,MI,GT,4,0,29,2,7.25,54
Riley Meredith,MI,GT,4,0,32,0,8,4
Kumar Kartikeya Singh,MI,GT,3,0,29,0,9.67,4
Kieron Pollard,MI,GT,2,0,13,1,6.5,31
Trent Boult,RR,PBSK,4,1,36,0,9,16
Prasidh Krishna,RR,PBSK,4,0,48,1,12,25
Kuldeep Sen,RR,PBSK,4,0,42,0,10.5,2
Ravichandran Ashwin,RR,PBSK,4,0,32,1,8,29
Yuzvendra Chahal,RR,PBSK,4,0,28,3,7,83
Sandeep Sharma,PBSK,RR,4,0,41,0,10.25,2
Kagiso Rabada,PBSK,RR,4,0,50,1,12.5,23
Arshdeep Singh,PBSK,RR,4,0,29,2,7.25,54
Rishi Dhawan,PBSK,RR,3,0,25,1,8.33,29
Rahul Chahar,PBSK,RR,3.4,0,39,0,10.64,2
Liam Livingstone,PBSK,RR,1,0,6,0,6,4
Tim Southee,KKR,LSG,4,0,28,1,7,29
Shivam Mavi,KKR,LSG,4,0,50,1,12.5,23
Sunil Narine,KKR,LSG,4,0,20,1,5,33
Anukul Roy,KKR,LSG,3,0,27,0,9,4
Harshit Rana,KKR,LSG,2,0,27,0,13.5,-2
Andre Russell,KKR,LSG,3,0,22,2,7.33,54
Mohsin Khan,LSG,KKR,3,1,6,1,2,47
Dushmantha Chameera,LSG,KKR,3,0,14,1,4.67,35
Avesh Khan,LSG,KKR,3,1,19,3,6.33,97
Jason Holder,LSG,KKR,2.3,0,31,3,12.4,77
Ravi Bishnoi,LSG,KKR,3,0,30,1,10,27
Jagadeesha Suchith,SRH,KKR,4,0,30,2,7.5,54
Bhuvneshwar Kumar,SRH,RCB,4,0,34,0,8.5,4
Fazalhaq Farooqi,SRH,RCB,4,0,47,0,11.75,0
Kartik Tyagi,SRH,RCB,4,0,42,1,10.5,27
Umran Malik,SRH,RCB,2,0,25,0,12.5,-2
Abhishek Sharma,SRH,RCB,2,0,13,0,6.5,6
Glenn Maxwell,RCB,SRH,2,0,13,1,6.5,31
Josh Hazlewood,RCB,SRH,4,0,17,2,4.25,60
Shahbaz Ahmed,RCB,SRH,2,0,20,0,10,2
Mohammed Siraj,RCB,SRH,3,0,27,0,9,4
Mahipal Lomror,RCB,SRH,1,0,7,0,7,4
Harshal Patel,RCB,SRH,3.2,0,20,1,6,31
Wanindu Hasaranga,RCB,SRH,4,1,18,5,4.5,163
Shardul Thakur,DC,CSK,3,0,38,0,12.67,-2
Khaleel Ahmed,DC,CSK,4,0,28,2,7,54
Anrich Nortje,DC,CSK,4,0,42,3,10.5,81
Axar Patel,DC,CSK,3,0,23,0,7.67,4
Kuldeep Yadav,DC,CSK,3,0,43,0,14.33,-2
Mitchell Marsh,DC,CSK,3,0,34,1,11.33,25
Mukesh Choudhary,CSK,DC,3,0,22,2,7.33,54
Simarjeet Singh,CSK,DC,4,0,27,2,6.75,56
Maheesh Theekshana,CSK,DC,4,0,29,1,7.25,29
Dwayne Bravo,CSK,DC,2.4,0,24,2,9,54
Moeen Ali,CSK,DC,4,0,13,3,3.25,89
Daniel Sams,MI,KKR,4,0,26,1,6.5,31
Murugan Ashwin,MI,KKR,4,0,35,1,8.75,29
Jasprit Bumrah,MI,KKR,4,1,10,5,2.5,163
Riley Meredith,MI,KKR,3,0,35,0,11.67,0
Kumar Kartikeya Singh,MI,KKR,3,0,32,2,10.67,52
Kieron Pollard,MI,KKR,2,0,26,0,13,-2
Tim Southee,KKR,MI,3,0,10,1,3.33,35
Pat Cummins,KKR,MI,4,0,22,3,5.5,87
Andre Russell,KKR,MI,2.3,0,22,2,8.8,54
Sunil Narine,KKR,MI,4,0,21,0,5.25,8
Varun Chakaravarthy,KKR,MI,3,0,22,1,7.33,29
Venkatesh Iyer,KKR,MI,1,0,8,0,8,4
Mohsin Khan,LSG,GT,4,0,18,1,4.5,35
Dushmantha Chameera,LSG,GT,4,0,34,0,8.5,4
Avesh Khan,LSG,GT,4,0,26,2,6.5,56
Krunal Pandya,LSG,GT,4,0,24,0,6,6
Jason Holder,LSG,GT,4,0,41,1,10.25,27
Mohammad Shami,GT,LSG,3,0,5,1,1.67,35
Hardik Pandya,GT,LSG,1,0,8,0,8,4
Yash Dayal,GT,LSG,2,0,24,2,12,50
Alzarri Joseph,GT,LSG,2,0,14,0,7,4
Rashid Khan,GT,LSG,3.5,0,24,4,6.26,114
Sai Kishore,GT,LSG,2,0,7,2,3.5,60
Chetan Sakariya,DC,RR,4,0,23,2,5.75,58
Anrich Nortje,DC,RR,4,0,39,2,9.75,54
Shardul Thakur,DC,RR,4,0,27,0,6.75,6
Axar Patel,DC,RR,2,0,25,0,12.5,-2
Mitchell Marsh,DC,RR,3,0,25,2,8.33,54
Kuldeep Yadav,DC,RR,3,0,20,0,6.67,6
Trent Boult,RR,DC,4,0,32,1,8,29
Prasidh Krishna,RR,DC,3,1,20,0,6.67,18
Ravichandran Ashwin,RR,DC,4,0,32,0,8,4
Kuldeep Sen,RR,DC,3.1,0,32,0,10.11,2
Yuzvendra Chahal,RR,DC,4,0,43,1,10.75,27
Daniel Sams,MI,DC,4,0,16,3,4,89
Jasprit Bumrah,MI,CSK,3,1,12,1,4,47
Riley Meredith,MI,CSK,3,0,27,2,9,54
Hrithik Shokeen,MI,CSK,2,0,12,0,6,6
Kumar Kartikeya Singh,MI,CSK,3,0,22,2,7.33,54
Ramandeep Singh,MI,CSK,1,0,5,1,5,29
Mukesh Choudhary,CSK,MI,4,0,23,3,5.75,87
Simarjeet Singh,CSK,MI,4,0,22,1,5.5,33
Dwayne Bravo,CSK,MI,2,0,16,0,8,4
Maheesh Theekshana,CSK,MI,3,0,24,0,8,4
Moeen Ali,CSK,MI,1.5,0,17,1,9.27,29
Glenn Maxwell,RCB,PBSK,2,0,17,1,8.5,29
Josh Hazlewood,RCB,PBSK,4,0,64,0,16,-2
Mohammed Siraj,RCB,PBSK,2,0,36,0,18,-2
Wanindu Hasaranga,RCB,PBSK,4,0,15,2,3.75,60
Shahbaz Ahmed,RCB,PBSK,4,0,40,1,10,27
Harshal Patel,RCB,PBSK,4,0,34,4,8.5,112
Harpreet Brar,PBSK,RCB,4,0,33,1,8.25,29
Arshdeep Singh,PBSK,RCB,4,0,27,1,6.75,31
Kagiso Rabada,PBSK,RCB,4,0,21,3,5.25,87
Rishi Dhawan,PBSK,RCB,4,0,36,2,9,54
Rahul Chahar,PBSK,RCB,4,0,37,2,9.25,54
Bhuvneshwar Kumar,SRH,KKR,4,0,27,1,6.75,31
Marco Jansen,SRH,KKR,4,0,30,1,7.5,29
T Natarajan,SRH,KKR,4,0,43,1,10.75,27
Washington Sundar,SRH,KKR,4,0,40,0,10,2
Umran Malik,SRH,KKR,4,0,33,3,8.25,83
Umesh Yadav,KKR,SRH,4,0,19,1,4.75,35
Tim Southee,KKR,SRH,4,0,23,2,5.75,58
Sunil Narine,KKR,SRH,4,0,34,1,8.5,29
Andre Russell,KKR,SRH,4,0,22,3,5.5,87
Varun Chakaravarthy,KKR,SRH,4,0,25,1,6.25,31
Mohammad Shami,GT,CSK,4,0,19,2,4.75,60
Hardik Pandya,GT,CSK,2,0,8,0,4,10
Yash Dayal,GT,CSK,3,0,27,0,9,4
Rashid Khan,GT,CSK,4,0,31,1,7.75,29
Alzarri Joseph,GT,CSK,3,0,15,1,5,33
Sai Kishore,GT,CSK,4,0,31,1,7.75,29
Mukesh Choudhary,CSK,GT,3,0,28,0,9.33,4
Simarjeet Singh,CSK,GT,3,0,26,0,8.67,4
Mitchell Santner,CSK,GT,4,0,24,0,6,6
Prashant Solanki,CSK,GT,4,0,18,0,4.5,10
Matheesha Pathirana,CSK,GT,3.1,0,24,2,7.58,54
Moeen Ali,CSK,GT,2,0,11,1,5.5,33
Mohsin Khan,LSG,RR,4,0,43,0,10.75,2
Dushmantha Chameera,LSG,RR,3,0,35,0,11.67,0
Avesh Khan,LSG,RR,3,0,20,1,6.67,31
Jason Holder,LSG,RR,2,0,12,1,6,31
Ravi Bishnoi,LSG,RR,4,0,31,2,7.75,54
Marcus Stoinis,LSG,RR,1,0,15,0,15,4
Ayush Badoni,LSG,RR,1,0,5,1,5,29
Krunal Pandya,LSG,RR,2,0,16,0,8,4
Trent Boult,RR,LSG,4,0,18,2,4.5,60
Prasidh Krishna,RR,LSG,4,0,32,2,8,54
Yuzvendra Chahal,RR,LSG,4,0,42,1,10.5,27
Ravichandran Ashwin,RR,LSG,4,0,24,1,6,31
Obed McCoy,RR,LSG,4,0,35,2,8.75,54
Liam Livingstone,PBSK,DC,4,0,27,3,6.75,85
Kagiso Rabada,PBSK,DC,3,0,24,1,8,29
Harpreet Brar,PBSK,DC,3,0,29,0,9.67,4
Rishi Dhawan,PBSK,DC,2,0,17,0,8.5,4
Arshdeep Singh,PBSK,DC,4,0,37,3,9.25,83
Rahul Chahar,PBSK,DC,4,0,19,0,4.75,10
Khaleel Ahmed,DC,PBSK,4,0,43,0,10.75,2
Anrich Nortje,DC,PBSK,4,0,29,1,7.25,29
Lalit Yadav,DC,PBSK,1,0,6,0,6,4
Shardul Thakur,DC,PBSK,4,0,36,4,9,112
Axar Patel,DC,PBSK,4,0,14,2,3.5,60
Kuldeep Yadav,DC,PBSK,3,0,14,2,4.67,60
Daniel Sams,MI,SRH,4,0,39,1,9.75,29
Riley Meredith,MI,SRH,4,0,44,1,11,27
Sanjay Yadav,MI,SRH,2,0,23,0,11.5,0
Jasprit Bumrah,MI,SRH,4,0,32,1,8,29
Mayank Markande,MI,SRH,3,0,31,0,10.33,2
Ramandeep Singh,MI,SRH,3,0,20,3,6.67,85
Fazalhaq Farooqi,SRH,MI,4,0,31,0,7.75,4
Bhuvneshwar Kumar,SRH,MI,4,1,26,1,6.5,43
Washington Sundar,SRH,MI,4,0,36,1,9,29
T Natarajan,SRH,MI,4,0,60,0,15,-2
Umran Malik,SRH,MI,3,0,23,3,7.67,83
Abhishek Sharma,SRH,MI,1,0,10,0,10,4
Umesh Yadav,KKR,LSG,4,0,34,0,8.5,4
Tim Southee,KKR,LSG,4,0,57,0,14.25,-2
Sunil Narine,KKR,LSG,4,0,27,0,6.75,6
Varun Chakaravarthy,KKR,LSG,4,0,38,0,9.5,4
Andre Russell,KKR,LSG,3,0,45,0,15,-2
Nitish Rana,KKR,LSG,1,0,9,0,9,4
Mohsin Khan,LSG,KKR,4,0,20,3,5,87
Jason Holder,LSG,KKR,4,0,45,0,11.25,0
Avesh Khan,LSG,KKR,4,0,60,0,15,-2
Krishnappa Gowtham,LSG,KKR,2,0,23,1,11.5,25
Ravi Bishnoi,LSG,KKR,4,0,34,1,8.5,29
Marcus Stoinis,LSG,KKR,2,0,23,3,11.5,79
Siddarth Kaul,RCB,GT,4,0,43,0,10.75,2
Shahbaz Ahmed,RCB,GT,2,0,15,0,7.5,4
Josh Hazlewood,RCB,GT,4,0,39,2,9.75,54
Glenn Maxwell,RCB,GT,4,1,28,1,7,41
Mahipal Lomror,RCB,GT,1,0,11,0,11,4
Wanindu Hasaranga,RCB,GT,4,0,25,1,6.25,31
Harshal Patel,RCB,GT,1,0,6,0,6,4
Mohammad Shami,GT,RCB,2,0,23,0,11.5,0
Hardik Pandya,GT,RCB,3,0,35,0,11.67,0
Rashid Khan,GT,RCB,4,0,32,2,8,54
Yash Dayal,GT,RCB,4,0,35,0,8.75,4
Sai Kishore,GT,RCB,4,0,20,0,5,8
Lockie Ferguson,GT,RCB,1.4,0,21,0,12.6,4
Trent Boult,RR,CSK,4,0,44,1,11,27
Prasidh Krishna,RR,CSK,4,0,32,0,8,4
Ravichandran Ashwin,RR,CSK,4,0,28,1,7,29
Yuzvendra Chahal,RR,CSK,4,0,26,2,6.5,56
Obed McCoy,RR,CSK,4,0,20,2,5,58
Mukesh Choudhary,CSK,RR,4,0,41,0,10.25,2
Simarjeet Singh,CSK,RR,3,0,18,1,6,31
Mitchell Santner,CSK,RR,3,0,15,1,5,33
Matheesha Pathirana,CSK,RR,3.4,0,28,0,7.64,4
Moeen Ali,CSK,RR,4,0,21,1,5.25,33
Prashant Solanki,CSK,RR,2,0,20,2,10,52
Daniel Sams,MI,DC,4,0,30,1,7.5,29
Hrithik Shokeen,MI,DC,4,0,34,0,8.5,4
Jasprit Bumrah,MI,DC,4,0,25,3,6.25,85
Mayank Markande,MI,DC,4,0,26,1,6.5,31
Riley Meredith,MI,DC,2,0,9,0,4.5,10
Ramandeep Singh,MI,DC,2,0,29,2,14.5,48
Khaleel Ahmed,DC,MI,3.1,0,24,0,7.58,4
Anrich Nortje,DC,MI,4,0,37,2,9.25,54
Shardul Thakur,DC,MI,3,0,32,2,10.67,52
Mitchell Marsh,DC,MI,2,0,7,0,3.5,10
Kuldeep Yadav,DC,MI,4,0,33,1,8.25,29
Axar Patel,DC,MI,3,0,26,0,8.67,4
Liam Livingstone,PBSK,SRH,4,0,25,0,6.25,6
Arshdeep Singh,PBSK,SRH,4,0,25,0,6.25,6
Kagiso Rabada,PBSK,SRH,4,0,38,1,9.5,29
Nathan Ellis,PBSK,SRH,4,0,40,3,10,81
Harpreet Brar,PBSK,SRH,4,0,26,3,6.5,85
Bhuvneshwar Kumar,SRH,PBSK,2,0,22,0,11,2
Washington Sundar,SRH,PBSK,2,0,19,1,9.5,29
Fazalhaq Farooqi,SRH,PBSK,4,0,32,2,8,54
Jagadeesha Suchith,SRH,PBSK,4,0,38,1,9.5,29
Umran Malik,SRH,PBSK,2.1,0,24,1,11.08,25
Romario Shepherd,SRH,PBSK,1,0,23,0,23,4
Mohammad Shami,GT,RR,4,0,43,1,10.75,27
Yash Dayal,GT,RR,4,0,46,1,11.5,25
Alzarri Joseph,GT,RR,2,0,27,0,13.5,-2
Rashid Khan,GT,RR,4,0,15,0,3.75,10
Sai Kishore,GT,RR,4,0,43,1,10.75,27
Hardik Pandya,GT,RR,2,0,14,1,7,29
Trent Boult,RR,GT,4,0,38,1,9.5,29
Prasidh Krishna,RR,GT,3.3,0,40,0,11.43,0
Ravichandran Ashwin,RR,GT,4,0,40,0,10,2
Yuzvendra Chahal,RR,GT,4,0,32,0,8,4
Obed McCoy,RR,GT,4,0,40,1,10,27
Mohsin Khan,LSG,RCB,4,0,25,1,6.25,31
Dushmantha Chameera,LSG,RCB,4,0,54,0,13.5,-2
Krunal Pandya,LSG,RCB,4,0,39,1,9.75,29
Avesh Khan,LSG,RCB,4,0,44,1,11,27
Ravi Bishnoi,LSG,RCB,4,0,45,1,11.25,25
Mohammed Siraj,RCB,LSG,4,0,41,1,10.25,27
Josh Hazlewood,RCB,LSG,4,0,43,3,10.75,81
Shahbaz Ahmed,RCB,LSG,4,0,35,0,8.75,4
Wanindu Hasaranga,RCB,LSG,4,0,42,1,10.5,27
Harshal Patel,RCB,LSG,4,0,25,1,6.25,31
Trent Boult,RR,RCB,4,0,28,1,7,29
Prasidh Krishna,RR,RCB,4,0,22,3,5.5,87
Obed McCoy,RR,RCB,4,0,23,3,5.75,87
Ravichandran Ashwin,RR,RCB,4,0,31,1,7.75,29
Yuzvendra Chahal,RR,RCB,4,0,45,0,11.25,0
Mohammed Siraj,RCB,RR,2,0,31,0,15.5,-2
Josh Hazlewood,RCB,RR,4,0,23,2,5.75,58
Glenn Maxwell,RCB,RR,3,0,17,0,5.67,8
Shahbaz Ahmed,RCB,RR,2,0,35,0,17.5,-2
Harshal Patel,RCB,RR,3.1,0,29,0,9.16,4
Wanindu Hasaranga,RCB,RR,4,0,26,1,6.5,31
Mohammad Shami,GT,RR,4,0,33,1,8.25,29
Yash Dayal,GT,RR,3,0,18,1,6,31
Lockie Ferguson,GT,RR,3,0,22,0,7.33,4
Rashid Khan,GT,RR,4,0,18,1,4.5,35
Hardik Pandya,GT,RR,4,0,17,3,4.25,89
Sai Kishore,GT,RR,2,0,20,2,10,52
Trent Boult,RR,GT,4,1,14,1,3.5,47
Prasidh Krishna,RR,GT,4,0,40,1,10,27
Yuzvendra Chahal,RR,GT,4,0,20,1,5,33
Obed McCoy,RR,GT,3.1,0,26,0,8.21,4
Ravichandran Ashwin,RR,GT,3,0,32,0,10.67,2
