Player,Team1,Team2,Runs,Balls,4s,6s,Ducks,SR,Dream11_score
Sai Sudharsan,GT,CSK,35,30,4,1,0,116.67,49
Hardik Pandya,GT,CSK,27,18,5,0,0,150,38
David Miller,GT,CSK,6,4,1,0,0,150,11
Rahul Tewatia,GT,CSK,13,3,0,2,0,433.33,21
Robin Uthappa,CSK,GT,15,11,1,0,0,136.36,22
Ruturaj  Gaikwad,CSK,GT,16,13,3,0,0,123.08,23
Moeen Ali,CSK,GT,48,35,3,2,0,137.14,65
Ambati Rayudu,CSK,GT,27,27,4,0,0,100,35
Shivam Dube,CSK,GT,3,5,0,0,0,60,7
Ravindra Jadeja,CSK,GT,23,15,2,1,0,153.33,35
MS Dhoni,CSK,GT,3,6,0,0,0,50,7
Dwayne Bravo,CSK,GT,8,5,1,0,0,160,13
Chris Jordan,CSK,GT,6,3,0,0,0,200,10
Abhishek Sharma,SRH,MI,75,50,5,3,0,150,100
Kane Williamson,SRH,MI,32,40,2,1,0,80,44
Rahul Tripathi,SRH,MI,39,15,5,2,0,260,62
Nicholas Pooran,SRH,MI,5,2,1,0,0,250,10
Ishan Kishan,MI,SRH,26,28,3,0,0,92.86,33
Rohit Sharma,MI,SRH,26,15,4,1,0,173.33,42
Dewald Brevis,MI,SRH,8,11,1,0,0,72.73,13
Suryakumar Yadav,MI,SRH,68,37,5,6,0,183.78,103
Ramandeep Singh,MI,SRH,6,12,0,0,0,50,4
Jaydev Unadkat,MI,SRH,13,14,1,0,0,92.86,18
Faf Du Plessis,RCB,DC,16,24,1,0,0,66.67,19
Anuj Rawat,RCB,DC,66,47,2,6,0,140.43,94
Virat Kohli,RCB,DC,48,36,5,0,0,133.33,63
Dinesh Karthik,RCB,DC,7,2,0,1,0,350,13
Glenn Maxwell,RCB,DC,8,2,2,0,0,400,14
Prithvi Shaw,DC,RCB,51,29,7,2,0,175.86,80
David Warner,DC,RCB,61,45,6,2,0,135.56,85
Rishabh Pant,DC,RCB,27,14,2,2,0,192.86,43
Lalit Yadav,DC,RCB,1,4,0,0,0,25,5
Rovman Powell,DC,RCB,8,6,0,1,0,133.33,14
Axar Patel,DC,RCB,22,14,2,1,0,157.14,34
Shardul Thakur,DC,RCB,29,11,1,3,0,263.64,46
Ajinkya Rahane,KKR,RR,8,14,1,0,0,57.14,9
Venkatesh Iyer,KKR,RR,18,8,1,2,0,225,27
Shreyas Iyer,KKR,RR,54,33,5,2,0,163.64,79
Nitish Rana,KKR,RR,30,20,0,3,0,150,46
Andre Russell,KKR,RR,24,21,3,0,0,114.29,31
Sam Billings,KKR,RR,15,9,1,1,0,166.67,22
Pat Cummins,KKR,RR,4,3,1,0,0,133.33,9
Sunil Narine,KKR,RR,4,2,1,0,0,200,9
Rasikh Salam,KKR,RR,7,6,1,0,0,116.67,12
Varun Chakaravarthy,KKR,RR,1,1,0,0,0,100,5
Jos Buttler,RR,KKR,13,11,1,1,0,118.18,20
Devdutt Padikkal,RR,KKR,29,29,4,0,0,100,37
Sanju Samson,RR,KKR,13,12,2,0,0,108.33,19
Rassie van der Dussen,RR,KKR,4,4,1,0,0,100,9
Shimron Hetmyer,RR,KKR,59,36,1,6,0,163.89,88
Ravichandran Ashwin,RR,KKR,28,23,0,2,0,121.74,36
Riyan Parag,RR,KKR,8,4,0,1,0,200,14
Trent Boult,RR,KKR,2,1,0,0,0,200,6
Quinton De Kock,LSG,GT,39,32,2,1,0,121.88,51
Jason Holder,LSG,GT,8,14,2,0,0,57.14,10
Deepak Hooda,LSG,GT,25,24,3,0,0,104.17,32
Ayush Badoni,LSG,GT,5,7,0,0,0,71.43,9
Krunal Pandya,LSG,GT,22,15,2,0,0,146.67,30
Marcus Stoinis,LSG,GT,38,17,2,4,0,223.53,62
Dushmantha Chameera,LSG,GT,13,7,2,0,0,185.71,19
Avesh Khan,LSG,GT,7,2,0,1,0,350,13
Matthew Wade,GT,LSG,19,19,3,0,0,100,26
Shubman Gill,GT,LSG,7,9,1,0,0,77.78,12
Sai Sudharsan,GT,LSG,11,9,2,0,0,122.22,17
Hardik Pandya,GT,LSG,50,42,4,1,0,119.05,68
David Miller,GT,LSG,12,15,0,0,0,80,16
Abhinav Manohar,GT,LSG,35,21,5,1,0,166.67,54
Rahul Tewatia,GT,LSG,6,4,1,0,0,150,11
Abhishek Sharma,SRH,CSK,42,32,6,0,0,131.25,58
Kane Williamson,SRH,CSK,57,46,2,4,0,123.91,79
Rahul Tripathi,SRH,CSK,17,11,1,1,0,154.55,28
Nicholas Pooran,SRH,CSK,34,18,2,2,0,188.89,54
Aiden Markram,SRH,CSK,12,8,1,0,0,150,17
Ruturaj  Gaikwad,CSK,SRH,17,16,3,0,0,106.25,24
Robin Uthappa,CSK,SRH,88,50,4,9,0,176,128
Moeen Ali,CSK,SRH,3,8,0,0,0,37.5,7
Shivam Dube,CSK,SRH,95,46,5,8,0,206.52,134
Faf Du Plessis,RCB,PBSK,8,9,0,0,0,88.89,12
Anuj Rawat,RCB,PBSK,12,16,1,0,0,75,17
Virat Kohli,RCB,PBSK,1,3,0,0,0,33.33,5
Glenn Maxwell,RCB,PBSK,26,11,2,2,0,236.36,42
Shahbaz Ahmed,RCB,PBSK,41,27,4,0,0,151.85,57
Suyash S Prabhudessai,RCB,PBSK,34,18,5,1,0,188.89,55
Dinesh Karthik,RCB,PBSK,34,14,2,3,0,242.86,56
Wanindu Hasaranga,RCB,PBSK,7,3,0,1,0,233.33,13
Mohammed Siraj,RCB,PBSK,14,11,3,0,0,127.27,21
Josh Hazlewood,RCB,PBSK,7,7,0,0,0,100,11
Mayank Agarwal,PBSK,RCB,52,32,6,2,0,162.5,78
Shikhar Dhawan,PBSK,RCB,70,50,5,3,0,140,95
Jonny Bairstow,PBSK,RCB,12,13,1,0,0,92.31,17
Liam Livingstone,PBSK,RCB,2,3,0,0,0,66.67,6
Jitesh Sharma,PBSK,RCB,30,15,2,2,0,200,50
Shahrukh Khan,PBSK,RCB,15,6,0,2,0,250,23
Odean Smith,PBSK,RCB,1,1,0,0,0,100,5
Rohit Sharma,MI,GT,28,17,3,2,0,164.71,43
Ishan Kishan,MI,GT,3,6,0,0,0,50,7
Dewald Brevis,MI,GT,49,25,4,5,0,196,77
Tilak Varma,MI,GT,36,20,3,2,0,180,57
Suryakumar Yadav,MI,GT,43,30,1,4,0,143.33,62
Kieron Pollard,MI,GT,10,11,1,0,0,90.91,15
