Player,Team1,Team2,Runs,Balls,4s,6s,Ducks,SR,Dream11_score
K L Rahul,LSG,RCB,79,58,3,5,0,136.21,106
Manan Vohra,LSG,RCB,19,11,1,2,0,172.73,34
Deepak Hooda,LSG,RCB,45,26,1,4,0,173.08,68
Marcus Stoinis,LSG,RCB,9,9,0,1,0,100,15
Evin Lewis,LSG,RCB,2,6,0,0,0,33.33,6
Dushmantha Chameera,LSG,RCB,11,4,1,1,0,275,18
Virat Kohli,RCB,LSG,7,8,0,1,0,87.5,13
Faf Du Plessis,RCB,LSG,25,27,3,0,0,92.59,32
Rajat Patidar,RCB,LSG,58,42,4,3,0,138.1,82
Glenn Maxwell,RCB,LSG,24,13,1,2,0,184.62,39
Mahipal Lomror,RCB,LSG,8,10,0,0,0,80,12
Dinesh Karthik,RCB,LSG,6,7,0,0,0,85.71,10
Shahbaz Ahmed,RCB,LSG,12,8,1,1,0,150,19
Harshal Patel,RCB,LSG,1,2,0,0,0,50,5
Josh Hazlewood,RCB,LSG,1,2,0,0,0,50,5
Yashasvi Jaiswal,RR,GT,21,13,1,2,0,161.54,34
Jos Buttler,RR,GT,106,60,10,6,0,176.67,154
Sanju Samson,RR,GT,23,21,1,2,0,109.52,32
Devdutt Padikkal,RR,GT,9,12,0,0,0,75,13
Shimron Hetmyer,RR,GT,2,3,0,0,0,66.67,6
Yashasvi Jaiswal,RR,GT,22,16,1,2,0,137.5,33
Jos Buttler,RR,GT,39,35,5,0,0,111.43,52
Sanju Samson,RR,GT,14,11,2,0,0,127.27,20
Devdutt Padikkal,RR,GT,2,10,0,0,0,20,0
Shimron Hetmyer,RR,GT,11,12,2,0,0,91.67,17
Ravichandran Ashwin,RR,GT,6,9,0,0,0,66.67,10
Riyan Parag,RR,GT,15,15,1,0,0,100,20
Trent Boult,RR,GT,11,7,0,1,0,157.14,17
Obed McCoy,RR,GT,8,5,0,1,0,160,14
Wriddhiman Saha,GT,RR,5,7,1,0,0,71.43,10
Shubman Gill,GT,RR,45,43,3,1,0,104.65,58
Matthew Wade,GT,RR,8,10,0,1,0,80,14
Hardik Pandya,GT,RR,34,30,3,1,0,113.33,47
David Miller,GT,RR,32,19,3,1,0,168.42,49
